bin,DPPC,W,CHOL,Tail,Gli,Fosf,ZNPC,Lipid,DPPC_smooth,W_smooth,CHOL_smooth,Tail_smooth,Gli_smooth,Fosf_smooth,ZNPC_smooth,Lipid_smooth
-0.1415547157185557,0.6621434434969707,2.8348653583910114e-05,0.0,0.6618037890743104,0.0004284363776656011,0.0,0.0031038002615136136,0.6621434434969707,0.6088441803220691,3.4293256961384386e-05,0.0,0.6081168248058798,0.00021405772577000443,0.0,0.0015095884294115843,0.6088441803220691
0.3584452842814443,0.6991461495004029,2.9549189693662374e-05,0.0,0.6989696689081275,0.0005626904735383426,0.0,0.004607107791190678,0.6991461495004029,0.6335557365279164,3.2510315570128275e-05,0.0,0.6329686021098329,0.00031290297245240527,0.0,0.002347389294835038,0.6335557365279164
0.8584452842814443,0.7326680032653277,2.7495771861575764e-05,0.0,0.7326159434390953,0.0007220837825824739,0.0,0.0064211249821402765,0.7326680032653277,0.6640959186743316,3.155542827280786e-05,0.0,0.6636898739908391,0.00043496187555264274,0.0,0.0034817212657058437,0.6640959186743316
1.3584452842814443,0.7627526732900344,2.0376605373367557e-05,0.0,0.7629344126086378,0.0008650735209291511,0.0,0.008425858322738934,0.7627526732900344,0.6969018786915537,2.835648591563082e-05,0.0,0.696699203813954,0.0005698933461681973,0.0,0.004915341736012461,0.6969018786915537
1.8584452842814443,0.78721538887042,2.522363832407839e-05,0.0,0.7877128060212437,0.0009590342386447226,0.0,0.010725892502322538,0.78721538887042,0.7287851316846311,2.6198771767318837e-05,0.0,0.7288073240102829,0.0007074636786720582,0.0,0.006656756771981208,0.7287851316846311
2.3584452842814443,0.8055283071024065,2.3894163532318992e-05,0.0,0.805573001710902,0.001071801345071983,0.0,0.012991375923318019,0.8055283071024065,0.7574621044057184,2.5307873757000617e-05,0.0,0.7575611665376012,0.0008361366721533345,0.0,0.00863427190434209,0.7574621044057184
2.8584452842814443,0.821258539451382,2.9998074810680457e-05,0.0,0.8215850889722468,0.0010582946597402355,0.0,0.015385651906129092,0.821258539451382,0.7818845823959141,2.539765078040423e-05,0.0,0.7820842505504251,0.0009352575093937133,0.0,0.01078998072732977,0.7818845823959141
3.3584452842814443,0.8315744037849803,3.6242378477245614e-05,0.0,0.8317393820818576,0.0010459394450586818,0.0,0.017425754009679148,0.8315744037849803,0.8016658624998447,2.71469721035382e-05,0.0,0.8019089382789776,0.0010000286418889548,0.0,0.012990906532837545,0.8016658624998447
3.8584452842814443,0.8400542234079845,5.772974293696182e-05,0.0,0.8401593236057413,0.0010097796317236124,0.0,0.01921691423326151,0.8400542234079845,0.8171261725234347,3.461759961625705e-05,0.0,0.8173539204783982,0.001028969864047847,0.0,0.015149117714942062,0.8171261725234347
4.358445284281444,0.8485706681488128,9.783733396057677e-05,0.0,0.8485859243463693,0.0009612193237826069,7.124893341306487e-07,0.020890910554629157,0.8485706681488128,0.8293972283791133,4.914033874355673e-05,0.0,0.8295285441434235,0.001029406881075424,1.4249786682612974e-07,0.017182121325403386,0.8293972283791133
4.858445284281444,0.8546256606259673,0.00015380017069495768,0.0,0.8542958397602332,0.0009890069990708221,0.0,0.022344394467649225,0.8546256606259673,0.8392166990838253,7.512154017608446e-05,0.0,0.8392731117532897,0.0010128480118751918,1.4249786682612974e-07,0.019052725034269625,0.8392166990838253
5.358445284281444,0.8592668038072229,0.00027269889141062564,0.0,0.858042491241711,0.0011768004044870623,3.5624466706532433e-06,0.02357628143591014,0.8592668038072229,0.8468183519549936,0.0001236617034960735,0.0,0.8465645922071824,0.0010365491608245571,8.549872009567784e-07,0.020690850940225835,0.8468183519549936
5.858445284281444,0.8657940617442713,0.0004939400515032616,0.0,0.8636389937609468,0.0015079705133790504,8.412935382690647e-06,0.024890538363122088,0.8657940617442713,0.8536622835468517,0.00021520123810127675,0.0,0.8529445145430004,0.0011289553744886307,2.5375742774949076e-06,0.022183807810914426,0.8536622835468517
6.358445284281444,0.8698117596538781,0.0008792466188251195,0.0,0.865650027307226,0.0022714543048685696,2.1904587188880593e-05,0.026201634217632275,0.8698117596538781,0.8596137907960305,0.00037950461327890825,0.0,0.8580426552832972,0.0013812903091176222,6.918491715271027e-06,0.023580751807788576,0.8596137907960305
6.858445284281444,0.876299453680594,0.0013899273062539024,0.0,0.8686066146259953,0.0037297992672578406,4.038366433398508e-05,0.027236770096163092,0.876299453680594,0.8651595479023868,0.0006379226077375735,0.0,0.8620467933392224,0.0019350062978126692,1.4852726715241914e-05,0.024849923716095363,0.8651595479023868
7.358445284281444,0.8810338953608888,0.002220672182367169,0.0,0.8671099277894513,0.0064761320998687885,8.249398678973068e-05,0.027535039465682223,0.8810338953608888,0.8704411948493711,0.0010512970100720158,0.0,0.864609610945066,0.003032431317972262,3.135152407318805e-05,0.025888052715701965,0.8704411948493711
7.858445284281444,0.887812882598037,0.003377465651866709,0.0,0.864045817444361,0.010791552960124294,0.0001977446436069238,0.027631612565388788,0.887812882598037,0.876150410607534,0.0016722503621632323,0.0,0.8658102761855961,0.004955381829099709,7.018796346044216e-05,0.026699118941597693,0.876150410607534
8.358445284281444,0.8957082118126544,0.005086663386239912,0.0,0.8566570011108905,0.017743776949951044,0.00033882749862198977,0.026970197569457385,0.8957082118126544,0.8821332406212103,0.0025907950291105624,0.0,0.8644138776555848,0.008202543116414107,0.00013627087610830198,0.027115050782864754,0.8821332406212103
8.858445284281444,0.9041264019828046,0.007781308907169982,0.0,0.8419847520021121,0.028040881607759874,0.0006738821622044119,0.026177586422602924,0.9041264019828046,0.8889961690869959,0.003971207486779535,0.0,0.859680822594562,0.013356428576992369,0.0002666663911114082,0.027110241223858883,0.8889961690869959
9.358445284281444,0.9170779796992631,0.011418411819855177,0.0,0.8226389232321952,0.04315095608346389,0.0012901817524857684,0.02465748444036598,0.9170779796992631,0.8971518742907296,0.00597690438949979,0.0,0.850487284315802,0.021240659940233577,0.000516626008741765,0.026594384092699458,0.8971518742907296
9.858445284281444,0.9328573370209137,0.016336793226679743,0.0,0.7947528175459042,0.06361838700330373,0.0024069883078372822,0.02299339489222861,0.9328573370209137,0.9075165626227346,0.008800128598362305,0.0,0.8360158622670927,0.03266911092092056,0.0009815248729512752,0.02568605517800874,0.9075165626227346
10.358445284281444,0.953910467367005,0.02299718915579456,0.0,0.7580362650175507,0.09074050498484114,0.00427536826338504,0.020940990552086324,0.953910467367005,0.9207360795765283,0.012724073299147876,0.0,0.8148139517817305,0.04865890132586394,0.0017970495969068987,0.02434793077534824,0.9207360795765283
10.858445284281444,0.9787168741803366,0.031242615719477,0.0,0.7112583709517217,0.12470725908080374,0.007558701117862514,0.018523182476051916,0.9787168741803366,0.9373378120500646,0.017955263765795294,0.0,0.7857342257498968,0.07005159775203447,0.003241024320755003,0.02265852775666715,0.9373378120500646
